     save_loss_c   save_loss_r     save_loss
305     1.386294  2.679532e+13  1.339766e+13
306     1.386294  3.724872e+12  1.862436e+12
307     1.386294  2.859025e+13  1.429512e+13
308     1.386294  1.166352e+13  5.831759e+12
309     1.386294  1.538779e+13  7.693894e+12
310     1.511902  2.667910e+13  1.333955e+13
311     1.386294  5.026856e+12  2.513428e+12
312     1.386294  2.943346e+13  1.471673e+13
313     1.386294  6.275440e+12  3.137720e+12
314     1.386294  2.485273e+13  1.242637e+13
315     1.402000  1.828293e+13  9.141465e+12
316     1.386294  1.137667e+13  5.688334e+12
317     1.386294  3.012461e+13  1.506231e+13
318     1.386294  4.806936e+12  2.403468e+12
319     1.386294  3.269902e+13  1.634951e+13
320     1.386295  1.165151e+13  5.825756e+12
321     1.386294  1.997278e+13  9.986392e+12
322     1.388763  2.578758e+13  1.289379e+13
323     1.386294  7.799108e+12  3.899554e+12
324     1.386297  3.135925e+13  1.567963e+13
325     1.393914  5.201372e+12  2.600686e+12
326     1.386294  2.924651e+13  1.462325e+13
327     1.386294  6.300085e+12  3.150042e+12
328     1.386317  2.769879e+13  1.384940e+13
329     1.386294  6.645480e+12  3.322740e+12
330     0.598268  2.983012e+13  1.491506e+13
331     1.386302  5.713403e+12  2.856702e+12
332     1.386294  2.925992e+13  1.462996e+13
333     1.386294  6.086468e+12  3.043234e+12
334     0.433104  3.326996e+13  1.663498e+13
335     1.386305  6.362805e+12  3.181403e+12
336     1.386294  3.013656e+13  1.506828e+13
337     1.387493  7.095718e+12  3.547859e+12
338     1.386294  2.916875e+13  1.458437e+13
339     1.386294  8.102856e+12  4.051428e+12
340     1.386518  2.330796e+13  1.165398e+13
341     1.389000  1.594060e+13  7.970299e+12
342     1.388285  1.397904e+13  6.989518e+12
343     1.386294  2.515575e+13  1.257787e+13
344     1.386294  8.355162e+12  4.177581e+12
345     1.386294  3.179545e+13  1.589772e+13
346     1.397367  6.812418e+12  3.406209e+12
347     1.386294  3.053395e+13  1.526698e+13
348     1.386294  7.772117e+12  3.886058e+12
349     1.386438  2.396993e+13  1.198497e+13
350     1.386437  1.573510e+13  7.867551e+12
351     1.443361  1.544159e+13  7.720795e+12
352     1.386294  2.581591e+13  1.290796e+13
353     1.386294  7.805740e+12  3.902870e+12
354     1.386294  3.250517e+13  1.625258e+13
355     1.386294  6.635530e+12  3.317765e+12
356     1.386294  3.725346e+13  1.862673e+13
357     1.386294  6.758472e+12  3.379236e+12
358     1.386294  4.050060e+13  2.025030e+13
359     1.386294  1.054049e+13  5.270247e+12
360     1.386294  3.635973e+13  1.817986e+13
361     1.386294  2.939461e+13  1.469731e+13
362     1.386294  1.522355e+13  7.611775e+12
363     1.418607  5.079822e+13  2.539911e+13
364     1.386294  1.119393e+13  5.596966e+12
365     1.386297  3.634240e+13  1.817120e+13
366     1.386294  3.637941e+13  1.818971e+13
367     1.386294  1.115096e+13  5.575482e+12
368     1.386294  5.352183e+13  2.676091e+13
369     1.393343  1.641415e+13  8.207076e+12
370     1.386294  3.018394e+13  1.509197e+13
371     1.386294  4.681202e+13  2.340601e+13
372     1.386294  9.070669e+12  4.535334e+12
373     1.386294  5.357277e+13  2.678639e+13
374     1.386294  3.265346e+13  1.632673e+13
375     1.386294  1.804477e+13  9.022386e+12
376     0.466905  6.346652e+13  3.173326e+13
377     1.386295  1.438061e+13  7.190304e+12
378     1.386294  3.888790e+13  1.944395e+13
379     1.386294  4.494271e+13  2.247136e+13
380     1.386294  1.218730e+13  6.093652e+12
381     1.386294  6.150355e+13  3.075178e+13
382     1.403078  2.321602e+13  1.160801e+13
383     1.386294  3.073467e+13  1.536733e+13
384     1.386294  5.413481e+13  2.706740e+13
385     1.386294  1.007831e+13  5.039153e+12
386     1.386294  5.765807e+13  2.882903e+13
387     1.386294  3.771909e+13  1.885955e+13
388     1.386294  1.958584e+13  9.792920e+12
389     1.386294  7.075167e+13  3.537583e+13
390     1.386294  2.759217e+13  1.379608e+13
391     1.386349  3.086514e+13  1.543257e+13
392     1.462552  6.586589e+13  3.293294e+13
393     1.386294  1.288968e+13  6.444842e+12
394     1.386295  5.296456e+13  2.648228e+13
395     1.386294  3.882278e+13  1.941139e+13
396     1.386294  2.316646e+13  1.158323e+13
397     1.386558  5.167948e+13  2.583974e+13
398     1.386294  1.261089e+13  6.305446e+12
399     0.607302  6.238271e+13  3.119136e+13
400     1.386294  1.468827e+13  7.344133e+12
401     1.386294  5.589465e+13  2.794733e+13
402     1.390038  2.799079e+13  1.399540e+13
403     1.386294  3.919929e+13  1.959964e+13
404     1.386294  4.975687e+13  2.487844e+13
405     1.386341  2.046505e+13  1.023253e+13
406     0.389242  6.325869e+13  3.162935e+13
407     1.386295  1.409997e+13  7.049983e+12
408     1.386294  6.053915e+13  3.026958e+13
409     1.401961  1.204091e+13  6.020455e+12
410     1.386294  5.621075e+13  2.810538e+13
411     1.386294  1.266727e+13  6.333634e+12
412     1.386294  6.198865e+13  3.099433e+13
413     1.396161  1.300572e+13  6.502860e+12
414     1.386294  5.764328e+13  2.882164e+13
415     1.386294  1.273480e+13  6.367402e+12
416     1.386304  5.415274e+13  2.707637e+13
417     1.386294  1.330371e+13  6.651853e+12
418     1.386294  5.950207e+13  2.975104e+13
419     1.386294  1.391775e+13  6.958876e+12
420     1.386294  6.696486e+13  3.348243e+13
421     1.389637  1.442804e+13  7.214020e+12
422     1.386294  6.430382e+13  3.215191e+13
423     1.386294  1.653473e+13  8.267367e+12
424     1.386294  6.654465e+13  3.327232e+13
425     1.425270  2.027720e+13  1.013860e+13
426     1.386294  5.939471e+13  2.969736e+13
427     1.386295  2.121214e+13  1.060607e+13
428     1.386337  5.662243e+13  2.831122e+13
429     1.403558  1.602426e+13  8.012129e+12
430     1.386294  5.855638e+13  2.927819e+13
431     1.386294  1.528220e+13  7.641098e+12
432     1.386294  6.458336e+13  3.229168e+13
433     1.393934  1.877821e+13  9.389104e+12
434     1.386294  5.711472e+13  2.855736e+13
435     1.386294  2.234189e+13  1.117095e+13
436     1.386294  6.266395e+13  3.133198e+13
437     1.387752  2.524740e+13  1.262370e+13
438     1.386294  5.812915e+13  2.906458e+13
439     1.386294  2.430242e+13  1.215121e+13
440     1.386301  5.380212e+13  2.690106e+13
441     1.386294  2.724559e+13  1.362280e+13
442     1.386294  5.918424e+13  2.959212e+13
443     1.386294  2.639142e+13  1.319571e+13
444     1.386294  7.067563e+13  3.533782e+13
445     1.386557  1.999062e+13  9.995311e+12
446     1.386294  7.640467e+13  3.820233e+13
447     1.386294  1.735738e+13  8.678692e+12
448     1.386294  8.135714e+13  4.067857e+13
449     1.386294  3.156081e+13  1.578041e+13
450     1.386294  6.084584e+13  3.042292e+13
451     1.386294  7.587904e+13  3.793952e+13
452     1.386948  2.190510e+13  1.095255e+13
453     1.386294  8.974425e+13  4.487212e+13
454     1.386294  2.767506e+13  1.383753e+13
455     1.386294  6.416278e+13  3.208139e+13
456     1.386294  7.898952e+13  3.949476e+13
457     1.386294  1.800368e+13  9.001839e+12
458     1.386297  9.197323e+13  4.598662e+13
459     1.386294  4.147531e+13  2.073765e+13
460     1.386294  4.927274e+13  2.463637e+13
461     1.386294  9.811321e+13  4.905660e+13
462     1.386294  1.988538e+13  9.942690e+12
463     1.386294  8.944570e+13  4.472285e+13
464     1.386294  8.717971e+13  4.358985e+13
465     1.386294  2.053887e+13  1.026944e+13
466     1.386294  1.060806e+14  5.304030e+13
467     1.386303  5.487143e+13  2.743571e+13
468     1.386294  3.842492e+13  1.921246e+13
469     1.386294  1.064735e+14  5.323675e+13
470     1.386294  2.700333e+13  1.350166e+13
471     1.386294  8.235636e+13  4.117818e+13
472     1.386294  8.919609e+13  4.459804e+13
473     1.386294  2.470842e+13  1.235421e+13
474     1.386554  1.033121e+14  5.165607e+13
475     1.386294  3.499274e+13  1.749637e+13
476     1.386294  7.811628e+13  3.905814e+13
477     1.386294  8.082573e+13  4.041287e+13
478     1.386294  3.460915e+13  1.730457e+13
479     1.386294  1.184787e+14  5.923937e+13
480     1.386294  3.592233e+13  1.796116e+13
481     1.386294  8.515302e+13  4.257651e+13
482     1.386294  1.075154e+14  5.375771e+13
483     1.386294  2.571544e+13  1.285772e+13
484     1.386294  1.177163e+14  5.885813e+13
485     1.386294  1.016764e+14  5.083822e+13
486     1.386294  2.961019e+13  1.480510e+13
487     1.386294  1.277257e+14  6.386283e+13
488     1.386294  1.119521e+14  5.597607e+13
489     1.386294  2.855838e+13  1.427919e+13
490     1.386294  1.231101e+14  6.155505e+13
491     1.386294  1.364764e+14  6.823818e+13
492     1.386294  3.278621e+13  1.639311e+13
493     1.386294  9.580136e+13  4.790068e+13
494     1.386378  1.185991e+14  5.929957e+13
495     1.386294  2.811265e+13  1.405632e+13
496     1.386294  1.132756e+14  5.663780e+13
497     1.386294  1.112172e+14  5.560860e+13
498     1.388424  3.515683e+13  1.757842e+13
499     1.386294  1.309632e+14  6.548161e+13
